City,geo_merge,Group,Population
Westlake Village,City of Westlake Village,,"8,360.00"
Westwood,Los Angeles - Westwood,,"54,109.00"
White Fence Farms,Unincorporated - White Fence Farms,,"3,683.00"
Whittier,Unincorporated - Whittier,,"3,784.00"
Whittier,City of Whittier,,"87,432.00"
Wholesale District,Los Angeles - Wholesale District,,"36,129.00"
Willowbrook,Unincorporated - Willowbrook,,"34,913.00"
Wilmington,Los Angeles - Wilmington,,"56,487.00"
Wilshire Center,Los Angeles - Wilshire Center,1,"50,170.00"
Winnetka,Los Angeles - Winnetka,,"51,786.00"
Wiseburn,Unincorporated - Wiseburn,,"6,027.00"
Woodland Hills,Los Angeles - Woodland Hills,,"68,055.00"
